vereador,faltas,faltas_abonadas,total_de_faltas,ano,nome_mes,mes
Zico Bacana,0,0,0,2019,maio,5
Alexandre Isquierdo,0,0,0,2019,junho,6
Átila A. Nunes,0,0,0,2019,junho,6
Babá,0,0,0,2019,junho,6
Carlos Bolsonaro,0,0,0,2019,junho,6
Cesar Maia,1,1,0,2019,junho,6
Dr. Carlos Eduardo,0,0,0,2019,junho,6
Dr. Gilberto,0,0,0,2019,junho,6
Dr. Jairinho,0,0,0,2019,junho,6
Dr. João Ricardo,1,0,1,2019,junho,6
Dr. Jorge Manaia,0,0,0,2019,junho,6
Dr. Marcos Paulo,0,0,0,2019,junho,6
Eliseu Kessler,0,0,0,2019,junho,6
Fátima da Solidariedade,0,0,0,2019,junho,6
Felipe Michel,0,0,0,2019,junho,6
Fernando William,0,0,0,2019,junho,6
Inaldo Silva,0,0,0,2019,junho,6
Italo Ciba,0,0,0,2019,junho,6
Jair da Mendes Gomes,0,0,0,2019,junho,6
Jones Moura,0,0,0,2019,junho,6
Jorge Felippe,0,0,0,2019,junho,6
Junior da Lucinha,1,0,1,2019,junho,6
Leandro Lyra,0,0,0,2019,junho,6
Leonel Brizola,0,0,0,2019,junho,6
Luciana Novaes,2,2,0,2019,junho,6
Luiz Carlos Ramos Filho,0,0,0,2019,junho,6
Major Elitusalem,1,1,0,2019,junho,6
Marcelino D Almeida,1,0,1,2019,junho,6
Marcello Siciliano,0,0,0,2019,junho,6
Marcelo Arar,0,0,0,2019,junho,6
Matheus Floriano,0,0,0,2019,junho,6
Paulo Messina,0,0,0,2019,junho,6
Paulo Pinheiro,0,0,0,2019,junho,6
Prof.Célio Lupparelli,0,0,0,2019,junho,6
Professor Adalmir,0,0,0,2019,junho,6
Rafael Aloisio Freitas,0,0,0,2019,junho,6
Reimont,0,0,0,2019,junho,6
Renato Cinco,1,0,1,2019,junho,6
Renato Moura,0,0,0,2019,junho,6
Rocal,1,1,0,2019,junho,6
Rosa Fernandes,0,0,0,2019,junho,6
Tânia Bastos,0,0,0,2019,junho,6
Tarcísio Motta,0,0,0,2019,junho,6
Teresa Bergher,0,0,0,2019,junho,6
Thiago K. Ribeiro,1,0,1,2019,junho,6
Tiãozinho do Jacaré,0,0,0,2019,junho,6
Vera Lins,0,0,0,2019,junho,6
Veronica Costa,8,8,0,2019,junho,6
Welington Dias,0,0,0,2019,junho,6
Willian Coelho,3,3,0,2019,junho,6
Zico,0,0,0,2019,junho,6
Zico Bacana,0,0,0,2019,junho,6
Alexandre Arraes,0,0,0,2019,agosto,8
Alexandre Isquierdo,1,1,0,2019,agosto,8
Átila A. Nunes,0,0,0,2019,agosto,8
Babá,1,0,1,2019,agosto,8
Carlos Bolsonaro,0,0,0,2019,agosto,8
Cesar Maia,1,0,1,2019,agosto,8
Dr. Carlos Eduardo,0,0,0,2019,agosto,8
Dr. Gilberto,2,0,2,2019,agosto,8
Dr. Jairinho,0,0,0,2019,agosto,8
Dr. João Ricardo,0,0,0,2019,agosto,8
Dr. Jorge Manaia,3,3,0,2019,agosto,8
Dr. Marcos Paulo,0,0,0,2019,agosto,8
Eliseu Kessler,0,0,0,2019,agosto,8
Fátima da Solidariedade,1,1,0,2019,agosto,8
Fernando William,0,0,0,2019,agosto,8
Inaldo Silva,0,0,0,2019,agosto,8
Italo Ciba,0,0,0,2019,agosto,8
Jair da Mendes Gomes,0,0,0,2019,agosto,8
Jones Moura,1,1,0,2019,agosto,8
Jorge Felippe,0,0,0,2019,agosto,8
Junior da Lucinha,0,0,0,2019,agosto,8
Leandro Lyra,0,0,0,2019,agosto,8
Leonel Brizola,2,0,2,2019,agosto,8
Luciana Novaes,1,1,0,2019,agosto,8
Luiz Carlos Ramos Filho,1,0,1,2019,agosto,8
Major Elitusalem,0,0,0,2019,agosto,8
Marcelino D Almeida,0,0,0,2019,agosto,8
Marcello Siciliano,1,1,0,2019,agosto,8
Marcelo Arar,0,0,0,2019,agosto,8
Matheus Floriano,0,0,0,2019,agosto,8
Paulo Messina,0,0,0,2019,agosto,8
Paulo Pinheiro,0,0,0,2019,agosto,8
Petra,1,1,0,2019,agosto,8
Prof.Célio Lupparelli,0,0,0,2019,agosto,8
Professor Adalmir,0,0,0,2019,agosto,8
Rafael Aloisio Freitas,0,0,0,2019,agosto,8
Reimont,2,1,1,2019,agosto,8
Renato Cinco,0,0,0,2019,agosto,8
Rocal,0,0,0,2019,agosto,8
Rosa Fernandes,0,0,0,2019,agosto,8
Tânia Bastos,3,2,1,2019,agosto,8
Tarcísio Motta,0,0,0,2019,agosto,8
Teresa Bergher,0,0,0,2019,agosto,8
Thiago K. Ribeiro,0,0,0,2019,agosto,8
Tiãozinho do Jacaré,1,0,1,2019,agosto,8
Vera Lins,0,0,0,2019,agosto,8
Veronica Costa,1,1,0,2019,agosto,8
Welington Dias,0,0,0,2019,agosto,8
Willian Coelho,5,0,5,2019,agosto,8
Zico,1,0,1,2019,agosto,8
Zico Bacana,0,0,0,2019,agosto,8
Alexandre Arraes,1,1,0,2019,setembro,9
Alexandre Isquierdo,1,1,0,2019,setembro,9
Átila A. Nunes,0,0,0,2019,setembro,9
Babá,0,0,0,2019,setembro,9
Carlos Bolsonaro,0,0,0,2019,setembro,9
